x,y,theta
4.586686001,4.798363187,5.842374572
5.327010659,3.730927288,7.936769674
5.881274936,4.905785199,3.74797947
3.04899633,2.8662895,2.545668
5.416111055,10.53673003,5.598614069
5.876920107,9.32217043,7.693009171
6.698355047,10.32852257,3.504218967
3.140110956,1.294027797,6.276455401
4.2499555,1.257999654,3.14189522
8.755574114,3.357361972,7.147030644
9.546929908,4.057707768,10.2886233
2.110335595,7.297122337,3.913222876
1.393560735,6.59981767,7.05481553
2.085663322,3.548049559,-0.688201
10.4658299,10.46518818,3.464910202
9.549215622,9.845622898,0.462188535
